ID_Cliente,Nome_Cliente,Regiao
CLI0274,Cliente 274,Sul
CLI0275,Cliente 275,Norte
CLI0276,Cliente 276,Norte
CLI0277,Cliente 277,Oeste
CLI0278,Cliente 278,Norte
CLI0279,Cliente 279,Leste
CLI0280,Cliente 280,Norte
CLI0281,Cliente 281,Sul
CLI0282,Cliente 282,Sul
CLI0283,Cliente 283,Oeste
CLI0284,Cliente 284,Leste
CLI0285,Cliente 285,Sul
CLI0286,Cliente 286,Norte
CLI0287,Cliente 287,Oeste
CLI0288,Cliente 288,Norte
CLI0289,Cliente 289,Sul
CLI0290,Cliente 290,Sul
CLI0291,Cliente 291,Leste
CLI0292,Cliente 292,Leste
CLI0293,Cliente 293,Sul
CLI0294,Cliente 294,Oeste
CLI0295,Cliente 295,Sul
CLI0296,Cliente 296,Norte
CLI0297,Cliente 297,Oeste
CLI0298,Cliente 298,Oeste
CLI0299,Cliente 299,Sul
CLI0300,Cliente 300,Oeste
