Data,ID_Cliente,ID_Produto,ID_Vendedor,ID_CentroCusto,ID_Fornecedor,Documento,Valor,Tipo
2026-05-09,CLI0272,PRD0074,V016,CC05,,DOC100022,16863.26,Receita
2024-08-03,CLI0152,PRD0007,V001,CC04,FOR0075,DOC100023,1378.94,Despesa
2023-11-17,CLI0200,PRD0014,V029,CC06,,DOC100024,22476.06,Receita
2023-04-13,CLI0164,PRD0019,V026,CC04,FOR0055,DOC100025,21601.83,Despesa
2024-05-28,CLI0125,PRD0012,V017,CC02,FOR0093,DOC100026,27293.24,Despesa
2023-10-23,CLI0126,PRD0155,V023,CC02,FOR0007,DOC100027,18765.01,Despesa
2025-07-22,CLI0027,PRD0092,V017,CC03,,DOC100028,3817.34,Receita
2025-06-25,CLI0214,PRD0117,V020,CC05,,DOC100029,19223.84,Receita
2026-10-28,CLI0272,PRD0036,V010,CC03,,DOC100030,7228.49,Receita
2023-08-22,CLI0159,PRD0130,V020,CC06,FOR0036,DOC100031,8218.2,Despesa
2026-11-03,CLI0098,PRD0163,V009,CC04,FOR0025,DOC100032,28561.68,Despesa
2025-10-25,CLI0101,PRD0175,V002,CC01,FOR0002,DOC100033,8201.09,Despesa
2025-05-20,CLI0020,PRD0027,V008,CC09,,DOC100034,8420.82,Receita
2023-06-27,CLI0083,PRD0141,V008,CC06,FOR0062,DOC100035,14408.81,Despesa
2024-03-07,CLI0254,PRD0191,V005,CC02,,DOC100036,24087.35,Receita
2025-07-05,CLI0110,PRD0114,V014,CC05,FOR0050,DOC100037,24315.32,Despesa
2025-01-25,CLI0167,PRD0075,V018,CC03,,DOC100038,12886.81,Receita
2025-01-26,CLI0237,PRD0083,V003,CC09,FOR0011,DOC100039,13016.45,Despesa
2026-03-09,CLI0238,PRD0077,V027,CC01,FOR0010,DOC100040,9373.36,Despesa
2026-09-17,CLI0156,PRD0127,V024,CC06,FOR0037,DOC100041,26463.15,Despesa
2024-03-24,CLI0168,PRD0094,V030,CC02,,DOC100042,9741.11,Receita
2025-06-22,CLI0143,PRD0113,V017,CC05,FOR0059,DOC100043,9596.82,Despesa
2025-03-29,CLI0265,PRD0064,V003,CC06,FOR0047,DOC100044,821.11,Despesa
2026-10-18,CLI0199,PRD0050,V024,CC10,,DOC100045,11110.6,Receita
2025-03-10,CLI0289,PRD0046,V006,CC02,FOR0098,DOC100046,13685.64,Despesa
2024-07-30,CLI0114,PRD0133,V002,CC09,FOR0021,DOC100047,17067.13,Despesa
2023-02-15,CLI0217,PRD0017,V019,CC09,FOR0040,DOC100048,23663.08,Despesa
2023-06-22,CLI0141,PRD0189,V004,CC06,,DOC100049,2632.53,Receita
2026-07-22,CLI0050,PRD0191,V027,CC07,FOR0032,DOC100050,21394.87,Despesa
2025-09-28,CLI0268,PRD0087,V025,CC08,FOR0051,DOC100051,10578.17,Despesa
2024-11-12,CLI0253,PRD0125,V018,CC02,FOR0091,DOC100052,18582.94,Despesa
2023-04-05,CLI0179,PRD0001,V026,CC07,,DOC100053,25031.45,Receita
2025-08-09,CLI0013,PRD0135,V012,CC01,FOR0015,DOC100054,12706.17,Despesa
2025-05-11,CLI0126,PRD0190,V006,CC07,FOR0088,DOC100055,5112.9,Despesa
2024-02-23,CLI0271,PRD0075,V009,CC01,,DOC100056,14196.2,Receita
2023-08-24,CLI0080,PRD0199,V030,CC03,,DOC100057,27374.65,Receita
2025-07-28,CLI0247,PRD0010,V011,CC02,,DOC100058,6008.97,Receita
2025-01-05,CLI0121,PRD0154,V023,CC08,,DOC100059,17884.1,Receita
2024-04-03,CLI0144,PRD0104,V006,CC05,,DOC100060,18840.0,Receita
2026-02-01,CLI0134,PRD0125,V029,CC07,FOR0044,DOC100061,19841.48,Despesa
2023-07-09,CLI0114,PRD0103,V002,CC04,FOR0018,DOC100062,24062.39,Despesa
2025-02-27,CLI0265,PRD0199,V009,CC01,FOR0085,DOC100063,27735.28,Despesa
2023-01-23,CLI0191,PRD0116,V026,CC04,FOR0092,DOC100064,12701.01,Despesa
2023-11-19,CLI0165,PRD0038,V009,CC09,,DOC100065,4020.38,Receita
2026-06-22,CLI0274,PRD0014,V005,CC10,,DOC100066,23134.29,Receita
2023-01-03,CLI0077,PRD0033,V003,CC06,,DOC100067,8170.63,Receita
2025-12-17,CLI0246,PRD0178,V015,CC02,,DOC100068,28669.27,Receita
2026-04-16,CLI0260,PRD0078,V001,CC04,FOR0054,DOC100069,5872.81,Despesa
2026-10-29,CLI0226,PRD0054,V002,CC09,,DOC100070,12453.17,Receita
2025-10-09,CLI0160,PRD0081,V010,CC07,,DOC100071,2373.15,Receita
2024-09-18,CLI0035,PRD0093,V003,CC03,FOR0014,DOC100072,20063.06,Despesa
2026-10-16,CLI0063,PRD0168,V015,CC01,FOR0049,DOC100073,21381.61,Despesa
2025-08-31,CLI0289,PRD0030,V015,CC01,,DOC100074,25696.36,Receita
2024-02-28,CLI0078,PRD0075,V021,CC07,FOR0070,DOC100075,22516.94,Despesa
2024-11-21,CLI0285,PRD0171,V003,CC05,FOR0025,DOC100076,6078.35,Despesa
2023-08-13,CLI0141,PRD0145,V016,CC06,,DOC100077,13461.01,Receita
2025-02-22,CLI0073,PRD0160,V004,CC03,,DOC100078,20363.09,Receita
2026-12-21,CLI0099,PRD0103,V002,CC08,,DOC100079,17822.91,Receita
2023-07-04,CLI0017,PRD0041,V004,CC07,,DOC100080,12264.55,Receita
2023-05-29,CLI0219,PRD0131,V005,CC04,,DOC100081,23029.16,Receita
2026-11-16,CLI0170,PRD0106,V020,CC01,,DOC100082,21835.46,Receita
2026-06-09,CLI0126,PRD0170,V020,CC09,FOR0003,DOC100083,7895.36,Despesa
2024-01-22,CLI0226,PRD0028,V018,CC07,,DOC100084,6226.0,Receita
2024-11-12,CLI0053,PRD0157,V023,CC03,FOR0033,DOC100085,23018.73,Despesa
2024-09-03,CLI0181,PRD0157,V017,CC09,FOR0019,DOC100086,17267.26,Despesa
2024-02-10,CLI0265,PRD0184,V023,CC04,FOR0073,DOC100087,28352.22,Despesa
2026-07-08,CLI0043,PRD0035,V008,CC08,FOR0074,DOC100088,12583.13,Despesa
2024-11-14,CLI0185,PRD0069,V015,CC02,,DOC100089,13623.38,Receita
2023-10-05,CLI0292,PRD0140,V018,CC09,,DOC100090,2001.25,Receita
2024-06-25,CLI0172,PRD0154,V005,CC02,,DOC100091,28026.29,Receita
2023-01-08,CLI0187,PRD0062,V025,CC10,,DOC100092,10956.68,Receita
2023-12-06,CLI0281,PRD0020,V015,CC01,,DOC100093,12161.37,Receita
2026-09-10,CLI0196,PRD0158,V019,CC01,,DOC100094,4840.64,Receita
2025-04-23,CLI0074,PRD0136,V013,CC02,FOR0073,DOC100095,12231.45,Despesa
2024-11-19,CLI0135,PRD0063,V019,CC06,FOR0007,DOC100096,19287.0,Despesa
2023-03-19,CLI0075,PRD0104,V016,CC10,FOR0014,DOC100097,14150.3,Despesa
2025-04-22,CLI0290,PRD0195,V014,CC05,FOR0063,DOC100098,26686.43,Despesa
2025-08-07,CLI0210,PRD0112,V004,CC10,FOR0015,DOC100099,27166.91,Despesa
2025-12-13,CLI0267,PRD0111,V014,CC01,,DOC100100,9688.64,Receita
2023-04-22,CLI0222,PRD0188,V013,CC10,,DOC100101,9725.11,Receita
2024-09-16,CLI0036,PRD0063,V004,CC08,FOR0032,DOC100102,15128.77,Despesa
2025-03-23,CLI0244,PRD0178,V004,CC09,FOR0031,DOC100103,16394.92,Despesa
2026-09-07,CLI0121,PRD0018,V030,CC06,,DOC100104,26008.1,Receita
2025-05-13,CLI0085,PRD0057,V021,CC07,FOR0073,DOC100105,3768.1,Despesa
2023-05-27,CLI0067,PRD0032,V029,CC09,,DOC100106,17319.03,Receita
2025-07-17,CLI0125,PRD0187,V010,CC01,,DOC100107,9810.45,Receita
2023-05-09,CLI0231,PRD0136,V013,CC03,,DOC100108,10759.28,Receita
2026-04-14,CLI0157,PRD0008,V015,CC06,,DOC100109,9304.67,Receita
2025-10-17,CLI0242,PRD0053,V007,CC05,,DOC100110,25784.3,Receita
2026-11-19,CLI0101,PRD0081,V027,CC06,FOR0061,DOC100111,579.49,Despesa
2026-07-25,CLI0287,PRD0052,V018,CC04,FOR0025,DOC100112,28488.86,Despesa
2023-04-13,CLI0157,PRD0186,V027,CC06,FOR0036,DOC100113,26100.63,Despesa
2026-12-31,CLI0172,PRD0179,V025,CC08,FOR0054,DOC100114,2461.79,Despesa
2024-04-02,CLI0062,PRD0182,V023,CC04,FOR0035,DOC100115,5512.38,Despesa
2024-04-27,CLI0152,PRD0070,V012,CC09,FOR0015,DOC100116,17738.02,Despesa
2024-04-13,CLI0093,PRD0171,V008,CC05,FOR0017,DOC100117,19233.91,Despesa
2023-07-04,CLI0040,PRD0113,V030,CC09,FOR0010,DOC100118,15971.29,Despesa
2023-04-03,CLI0146,PRD0138,V009,CC07,,DOC100119,24116.31,Receita
2023-06-28,CLI0098,PRD0063,V006,CC05,,DOC100120,22052.2,Receita
2023-03-01,CLI0078,PRD0009,V020,CC08,,DOC100121,27500.66,Receita
2026-04-12,CLI0256,PRD0016,V006,CC02,,DOC100122,16724.56,Receita
2026-08-13,CLI0165,PRD0169,V016,CC01,FOR0067,DOC100123,8814.26,Despesa
2026-07-23,CLI0267,PRD0191,V018,CC03,FOR0077,DOC100124,23411.66,Despesa
2023-12-05,CLI0224,PRD0061,V022,CC08,,DOC100125,16479.89,Receita
2024-06-08,CLI0121,PRD0067,V016,CC09,FOR0029,DOC100126,25593.76,Despesa
2026-05-20,CLI0019,PRD0052,V020,CC01,FOR0074,DOC100127,13506.55,Despesa
2024-01-04,CLI0010,PRD0156,V016,CC07,,DOC100128,15161.04,Receita
2024-06-22,CLI0016,PRD0019,V004,CC03,FOR0073,DOC100129,19231.95,Despesa
2026-04-01,CLI0122,PRD0160,V005,CC01,FOR0040,DOC100130,12818.26,Despesa
2026-11-25,CLI0270,PRD0200,V009,CC10,,DOC100131,15000.51,Receita
2026-08-24,CLI0088,PRD0097,V009,CC04,FOR0021,DOC100132,14956.44,Despesa
2026-09-11,CLI0233,PRD0016,V011,CC07,FOR0060,DOC100133,10996.18,Despesa
2024-03-19,CLI0022,PRD0033,V016,CC10,FOR0018,DOC100134,4422.86,Despesa
2025-07-21,CLI0021,PRD0001,V008,CC07,FOR0068,DOC100135,4332.28,Despesa
2025-03-15,CLI0242,PRD0109,V030,CC02,FOR0005,DOC100136,20427.63,Despesa
2026-06-08,CLI0130,PRD0031,V018,CC04,,DOC100137,12608.37,Receita
2023-06-26,CLI0187,PRD0080,V011,CC10,FOR0028,DOC100138,1286.26,Despesa
2025-04-05,CLI0030,PRD0189,V011,CC10,FOR0089,DOC100139,27368.73,Despesa
2026-04-24,CLI0091,PRD0119,V028,CC07,FOR0028,DOC100140,11495.82,Despesa
2023-04-11,CLI0178,PRD0064,V006,CC09,,DOC100141,24144.15,Receita
2025-09-10,CLI0110,PRD0153,V015,CC05,,DOC100142,14229.76,Receita
2025-09-30,CLI0093,PRD0125,V007,CC09,FOR0050,DOC100143,12633.43,Despesa
2023-04-07,CLI0186,PRD0071,V020,CC01,FOR0067,DOC100144,5543.26,Despesa
2024-06-21,CLI0291,PRD0167,V023,CC04,FOR0035,DOC100145,3191.93,Despesa
2023-04-28,CLI0185,PRD0036,V025,CC04,,DOC100146,21731.27,Receita
2023-09-02,CLI0165,PRD0099,V015,CC02,,DOC100147,25651.02,Receita
2025-02-20,CLI0266,PRD0172,V002,CC05,,DOC100148,11879.78,Receita
2024-05-03,CLI0097,PRD0039,V017,CC10,FOR0017,DOC100149,1050.05,Despesa
2024-10-01,CLI0246,PRD0140,V023,CC03,,DOC100150,15557.12,Receita
2026-01-27,CLI0232,PRD0171,V013,CC03,,DOC100151,26415.53,Receita
2024-07-28,CLI0231,PRD0104,V005,CC07,FOR0067,DOC100152,25992.55,Despesa
2024-04-07,CLI0190,PRD0089,V020,CC04,,DOC100153,4295.09,Receita
2023-02-20,CLI0248,PRD0145,V001,CC05,FOR0085,DOC100154,20147.67,Despesa
2024-03-18,CLI0181,PRD0171,V004,CC06,FOR0031,DOC100155,23520.92,Despesa
2024-06-15,CLI0219,PRD0031,V013,CC08,,DOC100156,1897.18,Receita
2025-02-24,CLI0146,PRD0128,V023,CC05,FOR0029,DOC100157,4841.98,Despesa
2025-04-04,CLI0086,PRD0090,V022,CC04,,DOC100158,15661.27,Receita
2024-12-01,CLI0078,PRD0123,V019,CC05,FOR0090,DOC100159,25602.72,Despesa
2024-09-23,CLI0012,PRD0101,V004,CC06,FOR0009,DOC100160,27381.36,Despesa
2024-07-11,CLI0254,PRD0150,V010,CC08,,DOC100161,21603.89,Receita
2024-06-02,CLI0019,PRD0089,V011,CC06,,DOC100162,17014.92,Receita
2024-06-20,CLI0096,PRD0165,V016,CC07,FOR0079,DOC100163,10309.03,Despesa
2025-01-12,CLI0111,PRD0198,V003,CC01,,DOC100164,18662.33,Receita
2025-04-21,CLI0033,PRD0071,V003,CC08,FOR0058,DOC100165,11518.11,Despesa
2025-02-27,CLI0070,PRD0175,V017,CC05,,DOC100166,9327.36,Receita
2025-01-08,CLI0011,PRD0039,V020,CC04,FOR0035,DOC100167,6932.03,Despesa
2026-10-24,CLI0267,PRD0001,V030,CC09,,DOC100168,29395.78,Receita
2023-01-08,CLI0253,PRD0167,V025,CC09,,DOC100169,2463.37,Receita
2026-02-22,CLI0171,PRD0068,V012,CC02,FOR0003,DOC100170,9469.39,Despesa
2024-03-01,CLI0081,PRD0050,V027,CC03,FOR0021,DOC100171,10058.61,Despesa
2026-11-12,CLI0289,PRD0076,V012,CC07,FOR0037,DOC100172,11068.81,Despesa
2026-09-30,CLI0122,PRD0166,V008,CC06,FOR0042,DOC100173,21214.71,Despesa
2025-11-18,CLI0033,PRD0018,V027,CC02,FOR0091,DOC100174,9374.19,Despesa
2025-07-13,CLI0247,PRD0011,V006,CC10,FOR0053,DOC100175,26107.87,Despesa
2023-04-20,CLI0204,PRD0130,V024,CC07,,DOC100176,7663.02,Receita
2026-07-24,CLI0168,PRD0047,V011,CC04,,DOC100177,25297.07,Receita
2023-09-22,CLI0216,PRD0165,V023,CC03,FOR0080,DOC100178,22233.44,Despesa
2024-07-04,CLI0065,PRD0052,V013,CC10,FOR0086,DOC100179,8829.5,Despesa
2026-08-28,CLI0008,PRD0121,V019,CC03,,DOC100180,8113.85,Receita
2024-07-09,CLI0204,PRD0099,V030,CC03,,DOC100181,1556.16,Receita
2026-12-31,CLI0022,PRD0050,V010,CC06,FOR0094,DOC100182,16200.35,Despesa
2023-09-04,CLI0014,PRD0139,V028,CC08,,DOC100183,5219.76,Receita
2023-05-18,CLI0146,PRD0058,V013,CC10,,DOC100184,12304.76,Receita
2023-10-18,CLI0200,PRD0173,V023,CC04,FOR0070,DOC100185,8552.44,Despesa
2023-10-28,CLI0055,PRD0143,V030,CC05,,DOC100186,26427.75,Receita
2025-06-05,CLI0166,PRD0005,V009,CC10,,DOC100187,17108.18,Receita
2024-07-14,CLI0141,PRD0083,V008,CC02,FOR0062,DOC100188,6112.89,Despesa
2026-02-03,CLI0027,PRD0039,V003,CC01,,DOC100189,26790.13,Receita
2024-09-25,CLI0003,PRD0047,V011,CC08,FOR0018,DOC100190,29915.02,Despesa
2024-02-19,CLI0210,PRD0124,V002,CC07,FOR0045,DOC100191,24229.48,Despesa
2025-03-21,CLI0111,PRD0141,V020,CC10,FOR0033,DOC100192,8385.5,Despesa
2024-08-18,CLI0227,PRD0147,V027,CC01,FOR0023,DOC100193,25732.47,Despesa
2023-12-12,CLI0039,PRD0070,V012,CC01,FOR0097,DOC100194,16715.88,Despesa
2023-05-09,CLI0006,PRD0054,V003,CC06,FOR0002,DOC100195,23029.1,Despesa
2024-06-26,CLI0254,PRD0103,V010,CC09,FOR0086,DOC100196,23054.44,Despesa
2023-07-26,CLI0247,PRD0103,V027,CC07,FOR0033,DOC100197,26980.46,Despesa
2026-07-01,CLI0296,PRD0037,V008,CC06,,DOC100198,11713.16,Receita
2025-01-26,CLI0142,PRD0094,V021,CC08,FOR0046,DOC100199,9433.42,Despesa
2023-05-17,CLI0165,PRD0153,V004,CC05,FOR0043,DOC100200,6486.99,Despesa
2024-01-04,CLI0067,PRD0140,V010,CC04,,DOC100201,5401.1,Receita
2023-08-05,CLI0191,PRD0090,V006,CC07,,DOC100202,757.56,Receita
2025-03-29,CLI0207,PRD0025,V011,CC09,FOR0098,DOC100203,6220.12,Despesa
2023-12-24,CLI0056,PRD0149,V011,CC07,,DOC100204,14253.03,Receita
2024-03-25,CLI0092,PRD0070,V003,CC07,FOR0042,DOC100205,26455.79,Despesa
2025-01-01,CLI0006,PRD0038,V024,CC07,FOR0083,DOC100206,1753.52,Despesa
2026-06-16,CLI0226,PRD0183,V021,CC07,FOR0065,DOC100207,29083.58,Despesa
2023-08-22,CLI0233,PRD0112,V022,CC08,,DOC100208,12639.14,Receita
2025-02-26,CLI0193,PRD0154,V018,CC10,FOR0006,DOC100209,15505.44,Despesa
2023-03-07,CLI0232,PRD0115,V010,CC10,FOR0006,DOC100210,17877.69,Despesa
2024-10-27,CLI0240,PRD0085,V009,CC10,,DOC100211,9457.63,Receita
2025-08-18,CLI0206,PRD0014,V028,CC03,FOR0097,DOC100212,29703.13,Despesa
2025-10-02,CLI0096,PRD0167,V026,CC03,,DOC100213,24895.51,Receita
2023-08-02,CLI0134,PRD0017,V006,CC01,FOR0092,DOC100214,10338.54,Despesa
2025-11-26,CLI0233,PRD0054,V018,CC01,FOR0055,DOC100215,5960.1,Despesa
2024-07-26,CLI0123,PRD0019,V004,CC09,FOR0057,DOC100216,23635.14,Despesa
2025-10-02,CLI0037,PRD0128,V028,CC01,FOR0099,DOC100217,26111.18,Despesa
2023-05-15,CLI0078,PRD0094,V006,CC02,FOR0043,DOC100218,1200.43,Despesa
2024-12-09,CLI0113,PRD0074,V004,CC07,FOR0024,DOC100219,18469.86,Despesa
2023-03-05,CLI0239,PRD0126,V003,CC02,FOR0084,DOC100220,6281.46,Despesa
2026-07-12,CLI0101,PRD0144,V022,CC07,,DOC100221,11408.7,Receita
2024-11-26,CLI0143,PRD0169,V020,CC04,FOR0089,DOC100222,6366.54,Despesa
2023-09-20,CLI0298,PRD0120,V002,CC03,,DOC100223,8419.2,Receita
2024-06-13,CLI0184,PRD0079,V007,CC01,FOR0009,DOC100224,20780.5,Despesa
2025-01-07,CLI0210,PRD0052,V005,CC02,FOR0081,DOC100225,8048.38,Despesa
2025-02-06,CLI0210,PRD0072,V015,CC03,FOR0065,DOC100226,3795.02,Despesa
2023-07-14,CLI0214,PRD0061,V016,CC10,,DOC100227,3615.03,Receita
2023-09-10,CLI0147,PRD0021,V022,CC08,FOR0029,DOC100228,28017.25,Despesa
2025-03-04,CLI0212,PRD0154,V008,CC08,,DOC100229,19225.78,Receita
2025-01-21,CLI0145,PRD0150,V015,CC05,,DOC100230,8859.37,Receita
2026-11-24,CLI0126,PRD0004,V014,CC06,,DOC100231,4051.92,Receita
2024-05-30,CLI0143,PRD0088,V004,CC10,,DOC100232,3220.36,Receita
2026-09-08,CLI0108,PRD0023,V026,CC06,,DOC100233,583.01,Receita
2023-03-03,CLI0177,PRD0006,V022,CC03,FOR0061,DOC100234,2268.96,Despesa
2023-12-16,CLI0162,PRD0123,V022,CC10,FOR0008,DOC100235,29115.17,Despesa
2023-02-12,CLI0203,PRD0111,V027,CC04,FOR0084,DOC100236,16286.7,Despesa
2023-08-14,CLI0035,PRD0119,V021,CC07,FOR0084,DOC100237,27968.53,Despesa
2025-11-26,CLI0108,PRD0128,V012,CC03,FOR0066,DOC100238,11899.85,Despesa
2023-06-21,CLI0130,PRD0170,V026,CC08,,DOC100239,23302.63,Receita
2023-09-03,CLI0080,PRD0005,V012,CC06,,DOC100240,28341.61,Receita
2023-02-19,CLI0212,PRD0138,V018,CC09,,DOC100241,29234.77,Receita
2023-07-13,CLI0260,PRD0145,V004,CC02,,DOC100242,17079.44,Receita
2023-09-23,CLI0261,PRD0132,V010,CC05,FOR0046,DOC100243,23346.56,Despesa
2024-05-20,CLI0239,PRD0014,V007,CC10,FOR0058,DOC100244,5188.82,Despesa
2023-08-03,CLI0054,PRD0129,V005,CC03,FOR0073,DOC100245,15796.48,Despesa
2025-04-12,CLI0061,PRD0106,V027,CC01,FOR0030,DOC100246,4697.03,Despesa
2023-08-13,CLI0193,PRD0041,V010,CC09,FOR0080,DOC100247,953.28,Despesa
2023-08-14,CLI0279,PRD0165,V025,CC01,FOR0050,DOC100248,12542.53,Despesa
2023-06-10,CLI0275,PRD0029,V022,CC07,,DOC100249,9930.73,Receita
2025-09-28,CLI0287,PRD0036,V019,CC09,,DOC100250,27819.37,Receita
2023-07-18,CLI0154,PRD0069,V024,CC10,,DOC100251,7822.62,Receita
2025-01-23,CLI0245,PRD0099,V012,CC07,,DOC100252,10082.67,Receita
2023-08-28,CLI0272,PRD0016,V006,CC09,,DOC100253,11526.9,Receita
2024-10-22,CLI0115,PRD0173,V004,CC06,,DOC100254,1068.84,Receita
2025-01-06,CLI0118,PRD0134,V024,CC09,FOR0063,DOC100255,22020.75,Despesa
2025-02-03,CLI0054,PRD0002,V023,CC10,,DOC100256,10780.88,Receita
2024-05-19,CLI0189,PRD0078,V007,CC10,,DOC100257,22903.47,Receita
2023-04-25,CLI0255,PRD0031,V017,CC06,,DOC100258,1686.03,Receita
2023-07-10,CLI0139,PRD0109,V021,CC06,,DOC100259,12128.51,Receita
2024-08-08,CLI0050,PRD0022,V013,CC04,FOR0033,DOC100260,9912.76,Despesa
2024-10-11,CLI0080,PRD0074,V021,CC05,,DOC100261,1796.54,Receita
2025-10-01,CLI0043,PRD0142,V005,CC06,,DOC100262,19196.77,Receita
2023-02-15,CLI0109,PRD0149,V018,CC01,FOR0095,DOC100263,14427.11,Despesa
2024-11-18,CLI0039,PRD0045,V026,CC02,FOR0057,DOC100264,20591.66,Despesa
2023-10-14,CLI0230,PRD0174,V014,CC02,,DOC100265,13405.53,Receita
2023-05-27,CLI0183,PRD0171,V027,CC09,FOR0092,DOC100266,3485.79,Despesa
2023-08-31,CLI0287,PRD0030,V030,CC04,,DOC100267,3000.39,Receita
2024-10-25,CLI0064,PRD0040,V028,CC05,FOR0061,DOC100268,12287.33,Despesa
2025-06-03,CLI0103,PRD0173,V023,CC08,FOR0064,DOC100269,13158.63,Despesa
2025-03-05,CLI0247,PRD0027,V018,CC03,FOR0099,DOC100270,17616.1,Despesa
2024-02-18,CLI0084,PRD0167,V012,CC07,,DOC100271,17783.0,Receita
2025-11-30,CLI0232,PRD0148,V019,CC08,FOR0046,DOC100272,23149.26,Despesa
2023-10-30,CLI0203,PRD0084,V003,CC08,FOR0030,DOC100273,19008.26,Despesa
2024-12-19,CLI0295,PRD0012,V009,CC02,FOR0033,DOC100274,11389.39,Despesa
2024-03-12,CLI0034,PRD0144,V006,CC07,,DOC100275,27298.02,Receita
2025-07-22,CLI0061,PRD0060,V006,CC10,,DOC100276,3158.88,Receita
2024-09-19,CLI0077,PRD0009,V023,CC06,FOR0073,DOC100277,4871.56,Despesa
2025-09-30,CLI0078,PRD0115,V025,CC06,,DOC100278,24191.96,Receita
2023-07-20,CLI0080,PRD0056,V007,CC09,,DOC100279,22153.75,Receita
2024-12-05,CLI0098,PRD0150,V006,CC06,,DOC100280,20709.42,Receita
2025-01-15,CLI0149,PRD0156,V028,CC05,,DOC100281,3401.77,Receita
2025-01-03,CLI0276,PRD0065,V022,CC05,,DOC100282,8665.57,Receita
2026-02-22,CLI0249,PRD0020,V009,CC01,,DOC100283,8622.95,Receita
2024-07-22,CLI0078,PRD0100,V006,CC09,FOR0017,DOC100284,18320.94,Despesa
2026-01-18,CLI0084,PRD0137,V025,CC10,FOR0100,DOC100285,19189.79,Despesa
2024-09-19,CLI0186,PRD0167,V026,CC09,,DOC100286,7079.5,Receita
2025-07-16,CLI0177,PRD0187,V007,CC09,FOR0035,DOC100287,17023.98,Despesa
2024-12-15,CLI0039,PRD0141,V004,CC10,FOR0085,DOC100288,22309.06,Despesa
2024-09-11,CLI0053,PRD0145,V004,CC04,FOR0048,DOC100289,9348.66,Despesa
2023-10-16,CLI0035,PRD0037,V001,CC07,,DOC100290,17170.62,Receita
2026-11-04,CLI0267,PRD0139,V003,CC07,FOR0068,DOC100291,20415.62,Despesa
2023-06-26,CLI0182,PRD0157,V016,CC04,FOR0091,DOC100292,3141.97,Despesa
2023-10-13,CLI0041,PRD0178,V016,CC01,FOR0072,DOC100293,28204.22,Despesa
2026-02-23,CLI0154,PRD0066,V011,CC04,,DOC100294,21092.36,Receita
2023-11-06,CLI0080,PRD0110,V030,CC01,FOR0078,DOC100295,14741.74,Despesa
2026-04-24,CLI0293,PRD0157,V029,CC10,FOR0041,DOC100296,28004.18,Despesa
2023-06-26,CLI0081,PRD0009,V004,CC02,FOR0039,DOC100297,26084.55,Despesa
2023-02-19,CLI0077,PRD0048,V023,CC10,,DOC100298,15641.01,Receita
2026-04-02,CLI0043,PRD0001,V012,CC02,FOR0028,DOC100299,29264.46,Despesa
2024-04-20,CLI0172,PRD0057,V012,CC07,,DOC100300,547.03,Receita
2024-05-10,CLI0300,PRD0095,V017,CC06,,DOC100301,15682.17,Receita
2024-12-21,CLI0121,PRD0107,V006,CC04,FOR0020,DOC100302,6421.92,Despesa
2025-07-13,CLI0171,PRD0048,V008,CC10,FOR0034,DOC100303,17906.01,Despesa
2026-03-22,CLI0012,PRD0048,V010,CC04,,DOC100304,2066.74,Receita
2025-11-09,CLI0105,PRD0173,V002,CC04,,DOC100305,16248.51,Receita
